country,admin1_name,admin2_name,SurveyId,n_slept_under_net,n_respondents,total_hh,total_n_itn,total_n_itn_used,prop_use,mean_age,prop_female,n_clusters
Tanzania,Mjini Magharibi,Magharibi B,TZ2010DHS,6593,10250,474,115,92,0.643219512,21.37712209,0.494804723,81
Tanzania,Mjini Magharibi,Magharibi B,TZ2012DHS,212,382,0,0,0,0.554973822,22.01259806,0.525571576,4
Tanzania,Mjini Magharibi,Magharibi B,TZ2015DHS,11576,21499,1000,249,189,0.538443649,23.17036681,0.550106726,168
Tanzania,Mjini Magharibi,Magharibi B,TZ2017DHS,131,268,0,0,0,0.48880597,22.23788239,0.527195681,2
Tanzania,Mjini Magharibi,Magharibi B,TZ2022DHS,5903,15246,606,161,124,0.387183524,23.42137806,0.517118473,118
Tanzania,Mjini Magharibi,Mjini,TZ2007DHS,528,1127,0,0,0,0.468500444,24.68814341,0.523460516,11
Tanzania,Mjini Magharibi,Mjini,TZ2010DHS,7040,14620,669,137,120,0.481532148,24.3067762,0.528048018,114
Tanzania,Mjini Magharibi,Mjini,TZ2012DHS,330,682,0,0,0,0.483870968,24.52527369,0.555381521,7
Tanzania,Mjini Magharibi,Mjini,TZ2015DHS,7484,19165,890,201,148,0.390503522,24.99857922,0.521226281,159
Tanzania,Mjini Magharibi,Mjini,TZ2022DHS,7731,22366,869,237,160,0.345658589,25.57568466,0.532475291,164
Tanzania,Morogoro,Gairo DC,TZ2007DHS,14,154,0,0,0,0.090909091,21.77327935,0.493421053,2
Tanzania,Morogoro,Gairo DC,TZ2010DHS,84,5502,262,2,1,0.015267176,20.5648855,0.480916031,42
Tanzania,Morogoro,Gairo DC,TZ2015DHS,624,3440,152,17,13,0.181395349,21.09976683,0.490396158,34
Tanzania,Morogoro,Gairo DC,TZ2017DHS,160,230,0,0,0,0.695652174,19.21204659,0.524193548,2
Tanzania,Morogoro,Gairo DC,TZ2022DHS,1874,6614,268,43,30,0.283338373,19.63988658,0.502033156,46
Tanzania,Morogoro,Ifakara TC,TZ2007DHS,54,71,0,0,0,0.76056338,24.35211268,0.408450704,1
Tanzania,Morogoro,Ifakara TC,TZ2010DHS,1029,1659,79,13,12,0.620253165,24.69620253,0.518987342,21
Tanzania,Morogoro,Ifakara TC,TZ2015DHS,1350,1602,89,30,29,0.842696629,24.52808989,0.483146067,18
Tanzania,Morogoro,Ifakara TC,TZ2017DHS,93,131,0,0,0,0.709923664,27.99062049,0.426406926,2
Tanzania,Morogoro,Ifakara TC,TZ2022DHS,1869,2289,84,23,22,0.816513761,21.41666667,0.614678899,21
Tanzania,Morogoro,Kilombero DC,TZ2007DHS,136,230,0,0,0,0.591304348,21.83399811,0.5005422,3
Tanzania,Morogoro,Kilombero DC,TZ2010DHS,3584,4720,242,74,64,0.759322034,25.08497381,0.50103901,57
Tanzania,Morogoro,Kilombero DC,TZ2012DHS,369,432,0,0,0,0.854166667,23.03971391,0.490066009,5
Tanzania,Morogoro,Kilombero DC,TZ2015DHS,2352,3745,190,53,47,0.628037383,25.20146753,0.480298701,50
Tanzania,Morogoro,Kilombero DC,TZ2017DHS,145,209,0,0,0,0.693779904,22.70814043,0.542390046,2
Tanzania,Morogoro,Kilombero DC,TZ2022DHS,5921,7331,283,104,96,0.807666076,25.20223654,0.486754292,69
Tanzania,Morogoro,Kilosa DC,TZ2007DHS,143,267,0,0,0,0.535580524,26.16588542,0.468347538,4
Tanzania,Morogoro,Kilosa DC,TZ2010DHS,3268,6673,317,61,56,0.489734752,23.49144946,0.512307725,63
Tanzania,Morogoro,Kilosa DC,TZ2012DHS,371,456,0,0,0,0.813596491,25.35157276,0.500123231,6
Tanzania,Morogoro,Kilosa DC,TZ2015DHS,2596,5802,303,60,51,0.44743192,21.62827626,0.528793319,62
Tanzania,Morogoro,Kilosa DC,TZ2017DHS,276,395,0,0,0,0.698734177,21.65113328,0.520210665,4
Tanzania,Morogoro,Kilosa DC,TZ2022DHS,9229,12885,501,181,139,0.716259216,25.02519403,0.516390124,122
Tanzania,Morogoro,Malinyi DC,TZ2007DHS,31,90,0,0,0,0.344444444,23.84444444,0.522222222,1
Tanzania,Morogoro,Malinyi DC,TZ2012DHS,96,130,0,0,0,0.738461538,19.38461538,0.5,1
Tanzania,Morogoro,Malinyi DC,TZ2022DHS,4300,5340,201,78,73,0.805243446,25.07581699,0.495915033,51
Tanzania,Morogoro,Morogoro DC,TZ2007DHS,37,148,0,0,0,0.25,24.16948285,0.524426291,3
Tanzania,Morogoro,Morogoro DC,TZ2010DHS,1718,5711,276,31,24,0.300822973,25.83890689,0.449614097,62
