province,num_hhmember,number_slept_under_itn,under_5,five_to_nineteen,nineteen_plus,num_under_5_slept_under_net,num_under_5,percent_slept_under_nets,percent_kids_slept_under_nets,all_slept_under_net,rural,wealth_quintile,raw_weight_hh,true_cluster,strata_id,fpc,fpc2,itns_in_hh,llins_in_hh,irs,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea,very_high_irs_in_ea,high_irs_in_ea,medium_irs_in_ea,low_irs_in_ea,very_low_irs_in_ea,people_per_net,nets_per_people,one_net_per_2_people,full_cover_or_irs_or_all_under_nets,all_kids_slept_under_net,itn_2_1_coverage_and_irs,itn_2_1_coverage_or_irs
Eastern,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,2,395.324707,68,20,0.010673986,0.242718443,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,78.26086957,4,0,1,0,0,0,NA,0,0,1,NA,0,1
Lusaka,2,2,#NAME?,1,1,0,0,1,NA,1,Rural,3,676.0807495,95,10,0.010804322,0.128205135,1,0,1,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,66.66666667,4,0,1,0,0,0,2,0.5,1,1,NA,1,1
Central,5,0,1,1,1,0,2,0,0,0,Rural,3,612.7114868,7,17,0.008504924,0.175999999,2,2,1,3,1,2,1,1,1,2,0.666666667,0,1,1,1,1,1,50,3,0,0,1,0,0,2.5,0.4,0,1,0,0,1
North-Western,6,6,1,1,1,1,1,1,1,1,Rural,4,556.4611206,155,12,0.011178861,0.186046511,3,3,1,3,1,3,1,1,1,3,1,1,1,1,1,1,1,76,4,0,1,0,0,0,2,0.5,1,1,1,1,1
Southern,4,4,1,1,1,1,1,1,1,1,Rural,4,863.7886963,170,19,0.008669267,0.209999993,2,2,0,2,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1,0,0,0,0,1,2,0.5,1,1,1,0,1
Copperbelt,6,0,1,1,1,0,2,0,0,0,Rural,4,776.8686523,27,9,0.009740259,0.322580636,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,56,3,0,0,1,0,0,NA,0,0,1,0,0,1
Muchinga,2,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,3,454.8388367,113,14,0.008843537,0.568181813,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,88,5,1,0,0,0,0,NA,0,0,1,NA,0,1
Southern,4,3,1,1,1,0,1,0.75,0,0,Urban,5,2030.643921,179,8,0.003696858,0.206185564,4,4,0,3,1,4,1,1,1,4,1.333333333,1,1,1,1,0,1,5,1,0,0,0,0,1,1,1,1,1,0,0,1
North-Western,3,3,1,#NAME?,1,1,1,1,1,1,Urban,3,2388.099854,157,3,0.005050505,0.131736532,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,60,4,0,1,0,0,0,3,0.333333333,0,1,1,0,1
Eastern,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,2,416.0484619,64,20,0.010673986,0.161073819,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,66.66666667,4,0,1,0,0,0,NA,0,0,1,NA,0,1
