province,rural,wealth_quintile,raw_weight_hh,true_cluster,fpc,fpc2,program,itns_in_hh,llins_in_hh,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea
North-Western,Rural,1,167.2251892,151,0.011178861,0.148148149,Contorl,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,40,3
North-Western,Rural,1,533.244873,154,0.011178861,0.15436241,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,47.82608696,3
Copperbelt,Rural,2,363.6075134,24,0.009740259,0.157534242,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,4,1
Eastern,Rural,1,555.6348877,200,0.010673986,0.147540987,Group 3: Pre-elimination (phase 3),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,79.16666667,4
Luapula,Rural,2,376.8461914,79,0.01005291,0.240384609,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,56,3
Luapula,Rural,4,607.4981079,77,0.01005291,0.190082639,Contorl,4,4,3,1,4,1,1,1,5,1.333333333,1,1,1,1,0,1,0,1
Eastern,Rural,5,660.1539307,52,0.010673986,0.145348832,Group 3: Pre-elimination (phase 3),4,4,3,1,4,1,1,1,4,1.333333333,1,1,1,1,0,1,72,4
Northern,Rural,2,339.425415,142,0.008608972,0.058608059,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,61.9047619,4
Eastern,Rural,3,661.9102783,201,0.010673986,0.216216221,Group 2: Pre-elimination (phase 2),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,87.5,5
Western,Rural,5,402.0045471,188,0.009014085,0.357142866,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,20,2
Copperbelt,Urban,5,2386.630371,36,0.004253509,0.078369908,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,52,3
Eastern,Rural,1,660.1539307,52,0.010673986,0.145348832,Group 3: Pre-elimination (phase 3),2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,72,4
Eastern,Rural,3,521.3146362,50,0.010673986,0.323943675,Group 1: Pre-elimination (phase 1),1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,30.43478261,2
Eastern,Rural,3,541.4136963,69,0.010673986,0.157534242,Group 3: Pre-elimination (phase 3),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23076923,4
Northern,Rural,5,1421.343872,142,0.008608972,0.058608059,Contorl,2,2,4,1,2,1,1,1,2,0.5,0,1,1,1,0,1,61.9047619,4
Central,Rural,4,537.9537354,8,0.008504924,0.347222209,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,36,2
Luapula,Rural,2,496.3392334,82,0.01005291,0.135714293,Contorl,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,89.47368421,5
North-Western,Rural,2,533.244873,154,0.011178861,0.15436241,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,47.82608696,3
Luapula,Rural,2,376.8461914,79,0.01005291,0.240384609,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,56,3
Lusaka,Urban,3,1356.745117,106,0.004336827,0.115207374,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,4,1
Central,Rural,4,545.0557861,14,0.008504924,0.146496817,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43478261,2
Western,Rural,2,402.0045471,188,0.009014085,0.357142866,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,20,2
Luapula,Rural,2,376.8461914,79,0.01005291,0.240384609,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,56,3
Lusaka,Urban,5,1548.101318,103,0.004336827,0.183206111,Contorl,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern,Rural,2,416.0484619,64,0.010673986,0.161073819,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,66.66666667,4
Southern,Rural,4,590.8314209,169,0.008669267,0.233333334,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1
Luapula,Rural,3,476.3570557,88,0.01005291,0.202380955,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,68.18181818,4
Muchinga,Rural,1,376.7821045,114,0.008843537,0.177304968,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,92,5
Lusaka,Urban,5,1603.284668,101,0.004336827,0.103960395,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,2
Central,Rural,3,545.0557861,14,0.008504924,0.146496817,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,30.43478261,2
Lusaka,Urban,4,1519.062622,109,0.004336827,0.115183249,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,1
Copperbelt,Urban,5,1653.740723,37,0.004253509,0.328358203,Contorl,2,1,3,1,2,1,1,0,2,0.666666667,0,1,1,1,1,1,82.60869565,5
North-Western,Rural,2,377.5714111,147,0.011178861,0.274193555,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,83.33333333,5
Northern,Urban,5,1934.877197,145,0.003367003,0.172131151,Contorl,2,2,4,1,2,1,1,1,2,0.5,0,1,1,1,0,1,31.81818182,2
Luapula,Rural,1,593.0375977,74,0.01005291,0.175438598,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80.95238095,5
North-Western,Rural,3,738.3956909,146,0.011178861,0.200000003,Contorl,3,0,3,1,3,1,1,0,3,1,1,1,0,1,0,1,65.2173913,4
Copperbelt,Rural,1,443.9248962,30,0.009740259,0.115207374,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,60,4
Eastern,Rural,4,541.4136963,69,0.010673986,0.157534242,Group 3: Pre-elimination (phase 3),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,69.23076923,4
Luapula,Rural,1,699.3758545,80,0.01005291,0.115577891,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,29.16666667,2
Luapula,Rural,3,729.2487183,84,0.01005291,0.138554215,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,78.26086957,4
Lusaka,Urban,5,1292.921265,104,0.004336827,0.157232702,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
Central,Rural,2,527.8833008,16,0.008504924,0.117948718,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,45.83333333,3
Copperbelt,Rural,3,472.447876,29,0.009740259,0.173913047,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,64,4
Muchinga,Rural,1,482.4048157,118,0.008843537,0.271428585,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,0,1
Copperbelt,Urban,5,1380.533325,39,0.004253509,0.129032254,Contorl,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,54.16666667,3
Southern,Rural,3,849.9223022,163,0.008669267,0.132231399,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52.94117647,3
Western,Rural,1,373.4830017,180,0.009014085,0.229357794,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2
Luapula,Rural,2,289.2167969,88,0.01005291,0.202380955,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,68.18181818,4
Copperbelt,Rural,5,476.67099,22,0.009740259,0.191176474,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538,1
Central,Rural,4,561.8015747,10,0.008504924,0.273809522,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,47.82608696,3
Central,Rural,1,560.3684082,3,0.008504924,0.156862751,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73913043,2
Luapula,Rural,3,699.3758545,80,0.01005291,0.115577891,Contorl,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2
Southern,Rural,4,472.7120056,166,0.008669267,0.063583814,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,73.91304348,4
Luapula,Urban,4,1629.50769,90,0.002994012,0.157894731,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,87.5,5
Eastern,Rural,2,848.4229736,202,0.010673986,0.148809522,Group 1: Pre-elimination (phase 1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,4
Lusaka,Rural,4,146.1127014,91,0.010804322,0.333333343,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,0,1
Western,Rural,5,784.9139404,192,0.009014085,0.162337661,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1
Luapula,Rural,1,538.1774902,81,0.01005291,0.182481751,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,44,3
Copperbelt,Urban,5,2386.630371,36,0.004253509,0.078369908,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,52,3
Muchinga,Rural,4,376.7821045,114,0.008843537,0.177304968,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,92,5
Northern,Rural,4,693.4748535,130,0.008608972,0.219047621,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,1
Southern,Rural,3,635.0724487,159,0.008669267,0.258426964,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
Muchinga,Rural,2,398.4147644,115,0.008843537,0.162162155,Contorl,6,6,3,1,6,1,1,1,6,2,1,1,1,1,0,1,16.66666667,1
Southern,Rural,4,866.6915894,176,0.008669267,0.107476637,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,43.47826087,3
Northern,Rural,4,561.5792236,143,0.008608972,0.101063833,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,78.94736842,4
Western,Rural,3,454.232605,185,0.009014085,0.155844152,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,44,3
Northern,Rural,4,229.5438385,133,0.008608972,0.600000024,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,57.89473684,3
Northern,Rural,1,335.6497192,140,0.008608972,0.127167627,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,59.09090909,3
Northern,Rural,1,743.1612549,136,0.008608972,0.106918238,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52.94117647,3
Eastern,Rural,1,273.2630615,51,0.010673986,0.300000012,Group 1: Pre-elimination (phase 1),1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,58.33333333,3
Central,Rural,1,470.0323181,2,0.008504924,0.220338985,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,3
Northern,Rural,1,511.7737122,126,0.008608972,0.46938777,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,83.33333333,5
Southern,Rural,5,590.8314209,169,0.008669267,0.233333334,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern,Rural,2,346.9143982,62,0.010673986,0.223300964,Group 2: Pre-elimination (phase 2),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,52.17391304,3
Luapula,Rural,1,765.9437256,71,0.01005291,0.100877196,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4
North-Western,Rural,2,556.4611206,155,0.011178861,0.186046511,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,76,4
Northern,Rural,1,561.5792236,143,0.008608972,0.101063833,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,78.94736842,4
Eastern,Rural,4,848.4229736,202,0.010673986,0.148809522,Group 1: Pre-elimination (phase 1),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,62.5,4
Central,Rural,3,909.2398071,13,0.008504924,0.091304347,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,14.28571429,1
Eastern,Rural,2,387.9973755,66,0.010673986,0.179856122,Group 1: Pre-elimination (phase 1),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,84,5
Southern,Rural,4,906.1154785,158,0.008669267,0.089147285,Contorl,1,1,12,1,1,0,0,0,1,0.083333333,0,1,1,1,1,1,26.08695652,2
Western,Rural,3,439.3160706,186,0.009014085,0.203539819,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,0,1
Northern,Rural,1,444.9024048,144,0.008608972,0.260869563,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,95.83333333,5
Central,Rural,4,561.8015747,10,0.008504924,0.273809522,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,47.82608696,3
Northern,Rural,1,500.5276489,135,0.008608972,0.194690272,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.18181818,4
Southern,Rural,3,863.7886963,170,0.008669267,0.209999993,Contorl,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lusaka,Rural,2,617.5328979,99,0.010804322,0.15625,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,60,4
Eastern,Rural,3,733.7052612,63,0.010673986,0.118644066,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,80.95238095,5
Luapula,Rural,3,473.644928,87,0.01005291,0.203539819,Contorl,3,3,4,1,3,1,1,1,3,0.75,0,1,1,1,0,1,43.47826087,3
Central,Rural,5,508.188385,9,0.008504924,0.316666663,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36.84210526,2
Central,Rural,2,508.188385,9,0.008504924,0.316666663,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,36.84210526,2
Muchinga,Rural,2,375.7364807,123,0.008843537,0.284090906,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
Muchinga,Rural,2,555.9848633,116,0.008843537,0.135869563,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,76,4
Luapula,Urban,5,1629.50769,90,0.002994012,0.157894731,Contorl,7,7,3,1,7,1,1,1,7,2.333333333,1,1,1,1,1,1,87.5,5
Northern,Rural,1,86.04906464,141,0.008608972,0.333333343,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,13.63636364,1
Copperbelt,Urban,5,2386.630371,36,0.004253509,0.078369908,Contorl,3,3,1,1,3,1,1,1,3,3,1,1,1,1,0,1,52,3
Southern,Rural,3,1015.069885,173,0.008669267,0.139534891,Contorl,4,4,4,1,4,1,1,1,4,1,1,1,1,1,0,1,12,1
Western,Rural,1,454.232605,185,0.009014085,0.155844152,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,44,3
Southern,Rural,4,807.7772827,161,0.008669267,0.200000003,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2
Muchinga,Rural,5,341.5785828,120,0.008843537,0.205357149,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,22.72727273,2
Muchinga,Rural,4,398.4147644,115,0.008843537,0.162162155,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,16.66666667,1
Northern,Urban,5,606.4540405,145,0.003367003,0.172131151,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,31.81818182,2
Western,Rural,4,441.7264709,190,0.009014085,0.274725288,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,0,1,48,3
Lusaka,Rural,1,484.2188721,98,0.010804322,0.234693885,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Central,Rural,4,479.9390564,4,0.008504924,0.160256416,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,12,1
Lusaka,Rural,3,320.7049866,97,0.010804322,0.540540516,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4
Northern,Rural,4,910.2848511,134,0.008608972,0.141843975,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,66.66666667,4
Northern,Rural,4,693.4748535,130,0.008608972,0.219047621,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,1
Luapula,Urban,1,1629.50769,90,0.002994012,0.157894731,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,87.5,5
Eastern,Rural,3,427.0566711,42,0.010673986,0.278481007,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.18181818,4
Lusaka,Rural,1,617.5328979,99,0.010804322,0.15625,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60,4
Central,Rural,2,508.188385,9,0.008504924,0.316666663,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.84210526,2
Central,Urban,2,2280.060059,20,0.003372681,0.185185179,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,28,2
Eastern,Rural,3,273.2630615,51,0.010673986,0.300000012,Group 1: Pre-elimination (phase 1),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,58.33333333,3
Eastern,Rural,1,481.271698,58,0.010673986,0.165517241,Group 3: Pre-elimination (phase 3),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,72,4
Muchinga,Rural,2,341.5785828,120,0.008843537,0.205357149,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,22.72727273,2
Lusaka,Urban,5,1356.745117,106,0.004336827,0.115207374,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Southern,Urban,5,2030.643921,179,0.003696858,0.206185564,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Eastern,Rural,2,461.8257446,53,0.010673986,0.186567158,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3
North-Western,Rural,2,441.6700439,150,0.011178861,0.210526317,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,0,1,4.166666667,1
Copperbelt,Rural,4,476.67099,22,0.009740259,0.191176474,Contorl,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,15.38461538,1
Luapula,Rural,2,729.2487183,84,0.01005291,0.138554215,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78.26086957,4
Eastern,Rural,1,441.381958,57,0.010673986,0.217391297,Group 3: Pre-elimination (phase 3),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,84,5
Northern,Rural,4,693.4748535,130,0.008608972,0.219047621,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,16.66666667,1
Copperbelt,Urban,5,995.0276489,31,0.004253509,0.139240503,Contorl,1,1,5,1,1,0,0,0,1,0.2,0,1,1,1,1,1,56.52173913,3
Southern,Rural,3,866.6915894,176,0.008669267,0.107476637,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,43.47826087,3
Eastern,Rural,2,606.6642456,67,0.010673986,0.098712444,Group 1: Pre-elimination (phase 1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,47.82608696,3
Luapula,Rural,1,537.7335815,89,0.01005291,0.291666657,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,82.60869565,5
Western,Rural,1,454.232605,185,0.009014085,0.155844152,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3
Western,Rural,3,481.2757568,183,0.009014085,0.347222209,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2
Eastern,Rural,2,387.9973755,66,0.010673986,0.179856122,Group 1: Pre-elimination (phase 1),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5
Central,Rural,2,537.9537354,8,0.008504924,0.347222209,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2
Southern,Rural,4,1015.069885,173,0.008669267,0.139534891,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
Northern,Rural,3,1421.343872,142,0.008608972,0.058608059,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,61.9047619,4
Copperbelt,Urban,4,995.0276489,31,0.004253509,0.139240503,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56.52173913,3
Eastern,Rural,2,1266.574219,61,0.010673986,0.116959065,Group 3: Pre-elimination (phase 3),1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,25,2
Western,Rural,1,153.4167023,194,0.009014085,0.51111114,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,82.60869565,5
Lusaka,Urban,5,1870.498779,101,0.004336827,0.103960395,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,2
North-Western,Rural,3,392.0827942,153,0.011178861,0.108527131,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,3
Eastern,Rural,1,681.663269,197,0.010673986,0.193548381,Group 2: Pre-elimination (phase 2),1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,83.33333333,5
Eastern,Rural,2,387.9973755,66,0.010673986,0.179856122,Group 1: Pre-elimination (phase 1),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5
Luapula,Rural,2,642.6174927,76,0.01005291,0.157232702,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,80.55555556,5
Central,Rural,1,636.7084961,6,0.008504924,0.178571433,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,15,1
Lusaka,Rural,1,484.2188721,98,0.010804322,0.234693885,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Copperbelt,Urban,5,1653.740723,37,0.004253509,0.328358203,Contorl,1,0,4,1,1,0,0,0,1,0.25,0,1,0,1,1,1,82.60869565,5
Eastern,Rural,3,703.6523438,44,0.010673986,0.196721315,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,62.5,4
Southern,Rural,4,616.5323486,174,0.008669267,0.090163931,Contorl,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,34.28571429,2
Luapula,Rural,2,699.3758545,80,0.01005291,0.115577891,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29.16666667,2
Southern,Rural,5,676.9153442,160,0.008669267,0.186274514,Contorl,4,4,5,1,4,1,1,1,4,0.8,0,1,1,1,0,1,0,1
Eastern,Rural,2,387.9973755,66,0.010673986,0.179856122,Group 1: Pre-elimination (phase 1),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5
Western,Rural,2,481.2757568,183,0.009014085,0.347222209,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2
Lusaka,Urban,5,1292.921265,104,0.004336827,0.157232702,Contorl,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
Muchinga,Rural,1,555.9848633,116,0.008843537,0.135869563,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,76,4
Luapula,Rural,2,765.9437256,71,0.01005291,0.100877196,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,75,4
Central,Rural,4,559.4170532,12,0.008504924,0.150793657,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05263158,2
Copperbelt,Rural,2,517.9124146,27,0.009740259,0.322580636,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3
Copperbelt,Rural,1,380.7234192,23,0.009740259,0.101265825,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1
Western,Rural,2,417.3861084,195,0.009014085,0.237113401,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7826087,2
Northern,Rural,1,644.4005127,137,0.008608972,0.124260359,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,66.66666667,4
Muchinga,Rural,1,375.7364807,123,0.008843537,0.284090906,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
Luapula,Rural,1,537.7335815,89,0.01005291,0.291666657,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,82.60869565,5
Lusaka,Urban,5,1548.101318,103,0.004336827,0.183206111,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Western,Rural,3,439.3160706,186,0.009014085,0.203539819,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,0,1
Central,Rural,1,559.4170532,12,0.008504924,0.150793657,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05263158,2
Lusaka,Urban,5,1902.555176,105,0.004336827,0.085185185,Contorl,1,1,5,1,1,0,0,0,1,0.2,0,1,1,1,0,1,0,1
Copperbelt,Urban,5,1653.740723,37,0.004253509,0.328358203,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,0,1,82.60869565,5
Lusaka,Rural,5,785.8235474,94,0.010804322,0.178294569,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,0,1,8.695652174,1
Northern,Rural,1,1421.343872,142,0.008608972,0.058608059,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,61.9047619,4
Eastern,Rural,2,387.9973755,66,0.010673986,0.179856122,Group 1: Pre-elimination (phase 1),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5
Central,Rural,3,479.9390564,4,0.008504924,0.160256416,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,12,1
Luapula,Rural,1,699.3758545,80,0.01005291,0.115577891,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2
Northern,Rural,4,693.4748535,130,0.008608972,0.219047621,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,16.66666667,1
Lusaka,Urban,5,1548.101318,103,0.004336827,0.183206111,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Northern,Rural,1,771.267334,129,0.008608972,0.178571433,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,28,2
Western,Rural,3,434.698822,187,0.009014085,0.349999994,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,0,1
Eastern,Rural,1,518.8547974,69,0.010673986,0.157534242,Group 3: Pre-elimination (phase 3),2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,69.23076923,4
Copperbelt,Urban,5,1188.17041,34,0.004253509,0.155688629,Contorl,4,3,4,1,4,1,1,1,4,1,1,1,1,1,0,1,56,3
Eastern,Rural,3,868.9041138,65,0.010673986,0.134969324,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,72.72727273,4
Southern,Rural,4,2668.378662,168,0.008669267,0.030037547,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2
Southern,Urban,5,271.2770081,178,0.003696858,0.246376812,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,2
